Model,Destroyed Count,Substantial Count,Minor Count,Fatality Count,Survival Count,Total Passengers,Average Fatality Rate,Average Destruction Rate
Cessna,614,4596,42,817,4435,4497,0.18167667333778073,0.1169078446306169
Piper,454,2774,34,614,2648,2849,0.2155142155142155,0.13917841814837523
Beech,233,983,16,342,890,1105,0.3095022624434389,0.1891233766233766
Mooney,56,341,6,102,299,349,0.2922636103151863,0.13895781637717122
Cirrus,56,218,5,89,191,263,0.33840304182509506,0.2007168458781362
Grumman,31,205,5,36,191,187,0.1925133689839572,0.12863070539419086
Vans,23,199,5,33,190,170,0.19411764705882353,0.1013215859030837
Bellanca,20,168,4,33,161,159,0.20754716981132076,0.10416666666666667
North american,17,134,4,26,131,123,0.21138211382113822,0.10967741935483871
Aeronca,14,132,4,25,128,121,0.2066115702479339,0.09333333333333334
Maule,12,130,3,25,127,119,0.21008403361344538,0.08275862068965517
Socata,11,128,3,22,125,119,0.18487394957983194,0.07746478873239436
Champion,11,106,2,16,105,108,0.14814814814814814,0.09243697478991597
Mitsubishi,9,103,2,15,105,106,0.14150943396226415,0.07894736842105263
Luscombe,9,88,2,12,85,95,0.12631578947368421,0.09090909090909091
Raytheon aircraft company,9,84,2,12,74,89,0.1348314606741573,0.09473684210526316
Smith,9,71,2,9,68,77,0.11688311688311688,0.10975609756097561
Stinson,7,53,2,9,51,56,0.16071428571428573,0.11290322580645161
Aero commander,6,47,2,9,38,54,0.16666666666666666,0.10909090909090909
Lancair,6,42,1,9,37,46,0.1956521739130435,0.12244897959183673
Ercoupe,6,39,1,9,35,42,0.21428571428571427,0.13043478260869565
Rockwell,6,38,1,9,33,40,0.225,0.13333333333333333
Aviat,5,35,1,8,33,37,0.21621621621621623,0.12195121951219512
American aviation,5,35,1,8,32,36,0.2222222222222222,0.12195121951219512
Zenith,5,34,1,8,32,36,0.2222222222222222,0.125
Columbia aircraft mfg,4,33,1,8,29,34,0.23529411764705882,0.10526315789473684
Embraer,4,33,1,8,29,33,0.24242424242424243,0.10526315789473684
Taylorcraft,4,31,1,8,28,29,0.27586206896551724,0.1111111111111111
Pitts,4,29,1,8,28,28,0.2857142857142857,0.11764705882352941
Varieze,3,25,1,8,23,27,0.2962962962962963,0.10344827586206896
Glasair,3,24,1,7,22,26,0.2692307692307692,0.10714285714285714
Diamond aircraft ind inc,3,21,1,7,20,23,0.30434782608695654,0.12
Navion,3,21,1,6,20,23,0.2608695652173913,0.12
Swearingen,3,20,1,5,19,22,0.22727272727272727,0.125
Hawker beechcraft corp,3,20,1,5,19,22,0.22727272727272727,0.125
Vans aircraft inc,3,20,1,5,19,21,0.23809523809523808,0.125
Lake,3,19,1,5,19,21,0.23809523809523808,0.13043478260869565
Extra flugzeugbau gmbh,3,18,1,5,18,20,0.25,0.13636363636363635
Hawker beechcraft,3,18,1,5,18,20,0.25,0.13636363636363635
Boeing,3,17,1,5,18,19,0.2631578947368421,0.14285714285714285
