Aircraft Damage,Country,Total Fatal Injuries
Destroyed,Antarctica,2.0
Destroyed,Argentina,7.0
Destroyed,Atlantic ocean,0.0
Destroyed,Austria,2.0
Destroyed,Bahamas,26.0
Destroyed,Belgium,5.0
Destroyed,Bolivia,9.0
Destroyed,Brazil,90.0
Destroyed,Canada,31.0
Destroyed,Chile,1.0
Destroyed,Colombia,24.0
Destroyed,Cuba,8.0
Destroyed,Dominican republic,3.0
Destroyed,El salvador,5.0
Destroyed,Eswatini,9.0
Destroyed,France,33.0
Destroyed,Germany,17.0
Destroyed,Guadeloupe,1.0
Destroyed,Guatemala,2.0
Destroyed,Honduras,4.0
Destroyed,Hungary,0.0
Destroyed,Iceland,2.0
Destroyed,Iraq,7.0
Destroyed,Ireland,3.0
Destroyed,Italy,15.0
Destroyed,Macao,4.0
Destroyed,Mexico,57.0
Destroyed,Namibia,2.0
Destroyed,Netherlands,2.0
Destroyed,New zealand,2.0
Destroyed,Niger,0.0
Destroyed,Peru,5.0
Destroyed,Poland,5.0
Destroyed,Portugal,6.0
Destroyed,Romania,0.0
Destroyed,Russia,6.0
Destroyed,Saint barthelemy,5.0
Destroyed,South Africa,8.0
Destroyed,Spain,11.0
Destroyed,Sweden,3.0
Destroyed,Switzerland,10.0
Destroyed,Turkey,0.0
Destroyed,Turks and caicos,4.0
Destroyed,United Kingdom,8.0
Destroyed,United States,2864.0
Destroyed,Venezuela,24.0
Destroyed,nan,4.0
Minor,Brazil,0.0
Minor,Canada,0.0
Minor,Colombia,0.0
Minor,Eswatini,0.0
Minor,France,0.0
Minor,Germany,0.0
Minor,Nigeria,0.0
Minor,Poland,0.0
Minor,Spain,0.0
Minor,Suriname,0.0
Minor,United States,5.0
Minor,Venezuela,0.0
Substantial,Angola,0.0
Substantial,Argentina,3.0
Substantial,Australia,4.0
Substantial,Austria,4.0
Substantial,Bahamas,13.0
Substantial,Belgium,0.0
Substantial,Bolivia,0.0
Substantial,Brazil,48.0
Substantial,Bulgaria,0.0
Substantial,Canada,22.0
Substantial,Central africa,4.0
Substantial,Chile,7.0
Substantial,Colombia,8.0
Substantial,Costa rica,0.0
Substantial,Denmark,0.0
Substantial,Dominican republic,2.0
Substantial,Estonia,1.0
Substantial,Eswatini,0.0
Substantial,Finland,1.0
Substantial,France,12.0
Substantial,Georgia,0.0
Substantial,Germany,5.0
Substantial,Guatemala,0.0
Substantial,Honduras,0.0
Substantial,Hungary,0.0
Substantial,Ireland,3.0
Substantial,Italy,8.0
Substantial,Japan,0.0
Substantial,Kazakhstan,1.0
Substantial,Kenya,1.0
Substantial,Mexico,15.0
Substantial,New zealand,0.0
Substantial,Nigeria,2.0
Substantial,Norway,0.0
Substantial,Peru,4.0
Substantial,Puerto rico,0.0
Substantial,Russia,2.0
Substantial,South Africa,0.0
Substantial,Spain,7.0
Substantial,Sweden,1.0
Substantial,United Kingdom,9.0
Substantial,United States,2374.0
Substantial,Venezuela,5.0
