Aircraft Damage,Country,Total Serious Injuries
Destroyed,Antarctica,0.0
Destroyed,Argentina,0.0
Destroyed,Atlantic ocean,2.0
Destroyed,Austria,0.0
Destroyed,Bahamas,1.0
Destroyed,Belgium,0.0
Destroyed,Bolivia,2.0
Destroyed,Brazil,0.0
Destroyed,Canada,5.0
Destroyed,Chile,2.0
Destroyed,Colombia,4.0
Destroyed,Cuba,0.0
Destroyed,Dominican republic,3.0
Destroyed,El salvador,0.0
Destroyed,Eswatini,0.0
Destroyed,France,0.0
Destroyed,Germany,2.0
Destroyed,Guadeloupe,0.0
Destroyed,Guatemala,0.0
Destroyed,Honduras,0.0
Destroyed,Hungary,0.0
Destroyed,Iceland,0.0
Destroyed,Iraq,0.0
Destroyed,Ireland,0.0
Destroyed,Italy,0.0
Destroyed,Macao,0.0
Destroyed,Mexico,0.0
Destroyed,Namibia,0.0
Destroyed,Netherlands,0.0
Destroyed,New zealand,0.0
Destroyed,Niger,0.0
Destroyed,Peru,0.0
Destroyed,Poland,0.0
Destroyed,Portugal,0.0
Destroyed,Romania,0.0
Destroyed,Russia,0.0
Destroyed,Saint barthelemy,0.0
Destroyed,South Africa,0.0
Destroyed,Spain,0.0
Destroyed,Sweden,0.0
Destroyed,Switzerland,0.0
Destroyed,Turkey,1.0
Destroyed,Turks and caicos,0.0
Destroyed,United Kingdom,0.0
Destroyed,United States,356.0
Destroyed,Venezuela,0.0
Destroyed,nan,0.0
Minor,Brazil,0.0
Minor,Canada,0.0
Minor,Colombia,0.0
Minor,Eswatini,0.0
Minor,France,0.0
Minor,Germany,0.0
Minor,Nigeria,0.0
Minor,Poland,0.0
Minor,Spain,0.0
Minor,Suriname,0.0
Minor,United States,8.0
Minor,Venezuela,0.0
Substantial,Angola,0.0
Substantial,Argentina,0.0
Substantial,Australia,1.0
Substantial,Austria,0.0
Substantial,Bahamas,3.0
Substantial,Belgium,0.0
Substantial,Bolivia,0.0
Substantial,Brazil,6.0
Substantial,Bulgaria,0.0
Substantial,Canada,1.0
Substantial,Central africa,8.0
Substantial,Chile,0.0
Substantial,Colombia,0.0
Substantial,Costa rica,0.0
Substantial,Denmark,0.0
Substantial,Dominican republic,4.0
Substantial,Estonia,0.0
Substantial,Eswatini,0.0
Substantial,Finland,0.0
Substantial,France,1.0
Substantial,Georgia,0.0
Substantial,Germany,0.0
Substantial,Guatemala,0.0
Substantial,Honduras,6.0
Substantial,Hungary,0.0
Substantial,Ireland,0.0
Substantial,Italy,0.0
Substantial,Japan,0.0
Substantial,Kazakhstan,0.0
Substantial,Kenya,0.0
Substantial,Mexico,7.0
Substantial,New zealand,0.0
Substantial,Nigeria,0.0
Substantial,Norway,0.0
Substantial,Peru,0.0
Substantial,Puerto rico,0.0
Substantial,Russia,3.0
Substantial,South Africa,0.0
Substantial,Spain,0.0
Substantial,Sweden,0.0
Substantial,United Kingdom,1.0
Substantial,United States,3351.0
Substantial,Venezuela,1.0
